evidence_id,alvo,tipo_de_alvo,afirmacao,classe_de_evidencia,fonte,localizacao,citacao,raciocinio,nivel_de_confianca,status
EV-001,FAM-001,FAMILIA,Agulhas descartáveis pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AGULHA DESCARTAVEL - 100 UN,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-002,FAM-002,FAMILIA,Agulhas inox reutilizáveis pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 csv|pdf-publicado p2 pdf-complementar p2 csv,AGULHA INOX,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-003,FAM-003,FAMILIA,Agulhas quadradas pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar, csv|pdf-publicado p2|pdf-publicado p2 csv,AGULHA QUADRADA,nome do produto declara a funcao,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
EV-004,FAM-004,FAMILIA,Agulhas para aplicador de vacina pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AGULHA APLICADOR PARA VACINA,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-005,FAM-005,FAMILIA,Seringas automáticas de fluxo contínuo pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 csv,SERINGA AVIZEE BOUBA AVIÁRIA|SERINGA AVIZEE FLUXO CONTÍNUO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-006,FAM-006,FAMILIA,Seringas automáticas duplas pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 csv,SERINGA DUPLA AVIZEE FLUXO CONTÍNUO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-007,FAM-007,FAMILIA,Vacinadoras com porta-frasco pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 csv,VACINADORA AVIZEE COM PORTA FRASCO,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-008,FAM-008,FAMILIA,Kits de reparo para seringas automáticas pertence a Vacinação e aplicação com aplicacao principal 'manutenção' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 csv,KIT DE REPARO SERINGA AVIZEE BOUBA AVIÁRIA|KIT REPARO DA SERINGA AVIZEE,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-009,FAM-009,FAMILIA,Seringas descartáveis pertence a Vacinação e aplicação com aplicacao principal 'aplicação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p5 csv,SERINGA,nome do produto declara a funcao,ALTA,CONFIRMADA_POR_FONTE
EV-010,FAM-010,FAMILIA,Seringas automáticas de precisão (linha importada) pertence a Vacinação e aplicação com aplicacao principal 'vacinação' e segmento Avicultura,SOURCE_EXPLICIT,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p6 csv|pdf-publicado p6 pdf-complementar p10 csv,"SERINGA SOCOREX 0,5 ML|SERINGA SOCOREX DUPLA|SERINGA SOCOREX ULTRA 0,5 ML",nome do produto declara a funcao,ALTA,BLOQUEADA
