page_id,nome,url,tipo,publico,intencao_principal,intencao_secundaria,origem_trafego,cta_principal,cta_secundario,conteudo_necessario,dados_necessarios,relacoes,indexacao,prioridade,versao,status,dependencias,riscos,decisao_necessaria
PG-01,Home,/,institucional,todos,entender oferta e foco,iniciar busca,organico|direto|social,Ver produtos,Solicitar cotacao,proposta de valor|diferenciais|categorias,dados de contato,categorias|solucoes|conteudos,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-04,promessa comercial indevida,DEC-01
PG-02,Produtos,/produtos,catalogo,comprador,localizar item,comparar familias,organico|menu,Adicionar a lista,Nao encontrou?,introducao|filtros|cards,familias classificadas,categorias|familias,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-01,catalogo sem dado tecnico,DEC-01
PG-03,Categoria,/produtos/{categoria},categoria,comprador,explorar por tipo,descobrir aplicacao,organico,Ver familia,Solicitar cotacao,descricao propria|familias,texto de categoria,familias|solucoes|artigos,INDEXAR_QUANDO_HOUVER_CONTEUDO,ESSENCIAL_V1,v1,PROPOSTA,DEP-02,pagina fina sem descricao,DEC-04
PG-04,Familia,/produtos/{categoria}/{familia},familia,comprador,escolher variacao,comparar medidas,organico|busca|social,Adicionar a lista,WhatsApp,nome funcional|tabela de variacoes|imagem,especificacoes|imagem aprovada,categoria|artigos|complementares,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-01|DEP-03,conteudo fino por falta de dado,DEC-06
PG-05,SKU,/produtos/{categoria}/{familia}/{sku},sku,comprador,item tecnicamente distinto,documentacao,organico,Adicionar a lista,WhatsApp,spec exclusiva|documento,3+ criterios de 45 §4,familia,DECISAO_NECESSARIA,PODE_ENTRAR_V1,v1,PROPOSTA,DEP-01,canibalizacao da familia,DEC-06
PG-06,Solucoes,/solucoes,hub,tecnico|gestor,navegar por necessidade,,menu,Ver solucao,Solicitar cotacao,lista de solucoes,solucoes publicadas,solucoes,INDEXAR_QUANDO_HOUVER_CONTEUDO,IMPORTANTE_V1,v1,PROPOSTA,DEP-02,hub com 1 item,DEC-07
PG-07,Solucao,/solucoes/{slug},solucao,tecnico|gestor,resolver problema,descobrir produtos,organico,Falar com especialista,Solicitar cotacao,contexto|boas praticas|familias,curadoria manual,categorias|familias|artigos,INDEXAR_QUANDO_HOUVER_CONTEUDO,IMPORTANTE_V1,v1,PROPOSTA,DEP-01|DEP-02,duplicar a categoria,DEC-07
PG-08,Central de Conteudos,/conteudos,hub,todos,aprender,descobrir produtos,organico,Ler artigo,Ver produtos,destaque|categorias|ultimos,artigos publicados,artigos|categorias editoriais,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-02,hub sem artigos,DEC-18
PG-09,Categoria editorial,/conteudos/{categoria},categoria_editorial,todos,aprofundar tema,,organico,Ler artigo,Ver produtos,descricao propria|artigos,minimo 2 artigos,artigos|categorias de produto,INDEXAR_QUANDO_HOUVER_CONTEUDO,IMPORTANTE_V1,v1,PROPOSTA,DEP-02,categoria vazia,DEC-18
PG-10,Artigo,/conteudos/{slug},artigo,todos,resolver duvida,conhecer produto,organico|social,Ver produtos citados,Solicitar cotacao,corpo|fontes|revisor tecnico,revisao tecnica,familias|solucoes|artigos,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-02,artigo sem produto relacionado,DEC-18
PG-11,Autor,/conteudos/autores/{slug},autor,todos,credibilidade,,organico,Ler artigos,,bio|credencial,autor com 2+ artigos,artigos,NAO_INDEXAR,EVOLUCAO,v2,PROPOSTA,DEP-02,pagina fina,DEC-16
PG-12,Busca,/busca,utilitaria,comprador,encontrar rapido,,interna,Abrir familia,Nao encontrou?,resultados por tipo|estados vazios,indice de busca,familias|artigos|solucoes,NAO_INDEXAR,IMPORTANTE_V1,v1,PROPOSTA,DEP-01,resultado ruidoso,DEC-10
PG-13,Lista de cotacao,/cotacao,transacional,comprador,revisar e enviar,editar itens,interna,Solicitar cotacao,WhatsApp,itens|formulario|privacidade,campos aprovados|base legal,catalogo,NAO_INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-05|DEP-06,perda silenciosa de lead,DEC-12
PG-14,Cotacao enviada,/cotacao/enviada,transacional,comprador,confirmar envio,,interna,Voltar ao catalogo,,protocolo|resumo,numeracao de protocolo,catalogo,NAO_INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-06,prometer prazo,DEC-12
PG-15,Sobre,/sobre,institucional,todos,confiar na empresa,conhecer atendimento,organico,Solicitar cotacao,Contato,quem somos|missao|abrangencia,historia e datas,contato|produtos,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-04,inventar fatos,DEC-01
PG-16,Contato,/contato,institucional,todos,falar com a empresa,,organico|menu,Enviar mensagem,WhatsApp,canais|horario|mapa|formulario,dados de contato confirmados,cotacao,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-04|DEP-05,dado de contato incorreto,DEC-14
PG-17,Politica de Privacidade,/politica-de-privacidade,legal,todos,conformidade,,direto,,,texto juridico|base legal,texto aprovado,cotacao|contato,INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,DEP-05,LGPD,DEC-14
PG-18,Politica de Cookies,/politica-de-cookies,legal,todos,conformidade,,direto,,,texto juridico,texto aprovado,privacidade,INDEXAR,IMPORTANTE_V1,v1,PROPOSTA,DEP-05,LGPD,DEC-14
PG-19,Termos de Uso,/termos-de-uso,legal,todos,conformidade,,direto,,,texto juridico,texto aprovado,privacidade,INDEXAR,PODE_ENTRAR_V1,v1,PROPOSTA,DEP-05,,DEC-14
PG-20,404,-,utilitaria,todos,recuperar o visitante,,interna,Buscar,Ver categorias,explicacao|atalhos,-,catalogo|busca,NAO_INDEXAR,ESSENCIAL_V1,v1,PROPOSTA,-,redirecionar para a home,DEC-01
PG-21,Bovinocultura,/bovinocultura,segmento,comprador,segmento complementar,,organico,Ver produtos,Solicitar cotacao,texto proprio|familias,3+ familias classificadas,familias BV,INDEXAR_QUANDO_HOUVER_CONTEUDO,EVOLUCAO,v2,PROPOSTA,DEP-01|DEP-02,pagina fina,DEC-09
PG-22,Perguntas frequentes,/perguntas-frequentes,institucional,todos,tirar duvida,,organico,Solicitar cotacao,Contato,perguntas reais,texto aprovado,cotacao|contato,DECISAO_NECESSARIA,DECISAO_NECESSARIA,v1,PROPOSTA,DEP-02,FAQ generica,DEC-16
PG-23,Central de materiais,/materiais,hub,tecnico,baixar documento,,organico,Baixar,Solicitar cotacao,documentos publicaveis,material aprovado,familias,DECISAO_NECESSARIA,EVOLUCAO,v2,PROPOSTA,DEP-02,PDF aposentado D-038,DEC-16
PG-24,Glossario,/glossario,conteudo,todos,entender termo,cauda longa,organico,Ver produtos,,verbetes,dado tecnico,familias|artigos,DECISAO_NECESSARIA,EVOLUCAO,v2,PROPOSTA,DEP-01,RK-18,DEC-16
