family_id,slug,nome_publico,categoria,categoria_slug,subcategoria,segmento_principal,segmentos_secundarios,aplicacao_principal,aplicacoes_secundarias,solucao,qtd_skus
FAM-001,agulhas-descartaveis,Agulhas descartáveis,Vacinação e aplicação,vacinacao-e-aplicacao,Agulhas,Avicultura,,vacinação,aplicação|biossegurança,Soluções para vacinação,10
FAM-002,agulhas-inox-reutilizaveis,Agulhas inox reutilizáveis,Vacinação e aplicação,vacinacao-e-aplicacao,Agulhas,Avicultura,,vacinação,aplicação|reposição,Soluções para vacinação,12
FAM-004,agulhas-para-aplicador-de-vacina,Agulhas para aplicador de vacina,Vacinação e aplicação,vacinacao-e-aplicacao,Agulhas,Avicultura,,vacinação,aplicação|reposição,Soluções para vacinação,1
FAM-005,seringas-automaticas-de-fluxo-continuo,Seringas automáticas de fluxo contínuo,Vacinação e aplicação,vacinacao-e-aplicacao,Seringas automáticas,Avicultura,,vacinação,aplicação,Soluções para vacinação,2
FAM-006,seringas-automaticas-duplas,Seringas automáticas duplas,Vacinação e aplicação,vacinacao-e-aplicacao,Seringas automáticas,Avicultura,,vacinação,aplicação,Soluções para vacinação,1
FAM-007,vacinadoras-com-porta-frasco,Vacinadoras com porta-frasco,Vacinação e aplicação,vacinacao-e-aplicacao,Vacinadoras,Avicultura,,vacinação,aplicação,Soluções para vacinação,1
FAM-008,kits-de-reparo-para-seringas-automaticas,Kits de reparo para seringas automáticas,Vacinação e aplicação,vacinacao-e-aplicacao,Reparo de seringas,Avicultura,,manutenção,vacinação|reposição,Soluções para vacinação,2
FAM-009,seringas-descartaveis,Seringas descartáveis,Vacinação e aplicação,vacinacao-e-aplicacao,Seringas descartáveis,Avicultura,,aplicação,vacinação,Soluções para vacinação,5
FAM-013,equipos-para-aplicacao-e-infusao,Equipos para aplicação e infusão,Vacinação e aplicação,vacinacao-e-aplicacao,Equipos,Avicultura,,aplicação,manejo,Soluções para vacinação,2
FAM-014,bicos-pulverizadores,Bicos pulverizadores,Pulverização e sistemas de fluido,pulverizacao-e-sistemas-de-fluido,Bicos,Avicultura,,pulverização,vacinação|biossegurança,Soluções para pulverização,8
FAM-015,tubulacoes-e-mangueiras,Tubulações e mangueiras,Pulverização e sistemas de fluido,pulverizacao-e-sistemas-de-fluido,Tubulações,Avicultura,,circulação de fluidos,pulverização|manutenção,Soluções para pulverização,5
FAM-022,balancas-suspensas-e-dinamometros-para-aves,Balanças suspensas e dinamômetros para aves,"Pesagem, medição e controle",pesagem-medicao-e-controle,Balanças para aves,Avicultura,,pesagem,manejo|monitoramento,"Soluções para pesagem, medição e controle",3
FAM-023,balancas-eletronicas-para-aves,Balanças eletrônicas para aves,"Pesagem, medição e controle",pesagem-medicao-e-controle,Balanças para aves,Avicultura,,pesagem,manejo|monitoramento,"Soluções para pesagem, medição e controle",5
FAM-024,balancas-para-ovos,Balanças para ovos,"Pesagem, medição e controle",pesagem-medicao-e-controle,Balanças para ovos,Avicultura,,pesagem,incubação|inspeção,"Soluções para pesagem, medição e controle",3
FAM-025,balancas-de-precisao-de-bolso,Balanças de precisão de bolso,"Pesagem, medição e controle",pesagem-medicao-e-controle,Balanças de precisão,Avicultura,,pesagem,medição,"Soluções para pesagem, medição e controle",1
FAM-026,termometros,Termômetros,"Pesagem, medição e controle",pesagem-medicao-e-controle,Termômetros,Avicultura,,controle de temperatura,medição|monitoramento|inspeção,"Soluções para pesagem, medição e controle",4
FAM-027,medidores-e-testes-de-qualidade-da-agua,Medidores e testes de qualidade da água,"Pesagem, medição e controle",pesagem-medicao-e-controle,Qualidade da água,Avicultura,,qualidade da água,medição|hidratação|biossegurança,"Soluções para pesagem, medição e controle",3
FAM-028,testes-de-qualidade-do-ambiente,Testes de qualidade do ambiente,"Pesagem, medição e controle",pesagem-medicao-e-controle,Qualidade do ambiente,Avicultura,,qualidade do ambiente,medição|monitoramento,"Soluções para pesagem, medição e controle",1
FAM-029,equipamentos-para-ovoscopia,Equipamentos para ovoscopia,"Pesagem, medição e controle",pesagem-medicao-e-controle,Ovoscopia,Avicultura,,ovoscopia,incubação|inspeção,"Soluções para pesagem, medição e controle",1
FAM-030,cameras-termograficas,Câmeras termográficas,"Pesagem, medição e controle",pesagem-medicao-e-controle,Termografia,Avicultura,,monitoramento,controle de temperatura|inspeção,"Soluções para pesagem, medição e controle",1
FAM-031,laminas-para-debicagem,Lâminas para debicagem,"Peças, reposição e automação",pecas-reposicao-e-automacao,Lâminas,Avicultura,,debicagem,reposição|manutenção,Reposição e manutenção,3
FAM-033,bebedouros-pendulares-para-aves,Bebedouros pendulares para aves,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Bebedouros,Avicultura,,hidratação,manejo|alimentação,Manejo e biossegurança,4
FAM-034,comedouros-para-aves,Comedouros para aves,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Comedouros,Avicultura,,alimentação,manejo,Manejo e biossegurança,4
FAM-035,niples-para-bebedouro,Niples para bebedouro,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Bebedouros,Avicultura,,hidratação,reposição|manutenção,Manejo e biossegurança,1
FAM-036,armadilhas-para-roedores,Armadilhas para roedores,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Controle de pragas,Avicultura,,controle de pragas,biossegurança,Manejo e biossegurança,2
FAM-037,adesivos-e-colas-para-captura,Adesivos e colas para captura,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Controle de pragas,Avicultura,,controle de pragas,biossegurança,Manejo e biossegurança,2
FAM-038,contadores-manuais-para-aves,Contadores manuais para aves,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Manejo,Avicultura,,manejo,monitoramento,Manejo e biossegurança,1
FAM-039,consumiveis-de-assepsia-e-apoio,Consumíveis de assepsia e apoio,"Manejo, alimentação e biossegurança",manejo-alimentacao-e-biosseguranca,Consumíveis,Avicultura,,biossegurança,manejo|aplicação,Manejo e biossegurança,3
FAM-040,conjunto-para-aplicacao-de-tuberculina,Conjunto para aplicação de tuberculina,Linhas complementares,linhas-complementares,Bovinocultura,Bovinocultura,,aplicação,vacinação|manejo,Linhas complementares,4
FAM-042,seringas-para-insulina,Seringas para insulina,Linhas complementares,linhas-complementares,Bovinocultura,Bovinocultura,,aplicação,manejo,Linhas complementares,1
