family_id,nome_familia_provisorio,segmento_principal,segmentos_secundarios,categoria_aprovada,destaque_na_home,aparece_no_filtro_de_segmento,tipo_de_evidencia,base_da_heranca,nivel_de_confianca,status
FAM-001,Agulhas descartáveis,Avicultura,,Vacinação e aplicação,SIM,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,Avicultura,,Vacinação e aplicação,SIM,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,Avicultura,,Vacinação e aplicação,NAO,SIM,SOURCE_DERIVED,D-042 heranca de segmento,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,Avicultura,,Vacinação e aplicação,NAO,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,Avicultura,,Vacinação e aplicação,SIM,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,Avicultura,,Vacinação e aplicação,NAO,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,Avicultura,,Vacinação e aplicação,SIM,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,Avicultura,,Vacinação e aplicação,NAO,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,Avicultura,,Vacinação e aplicação,SIM,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),Avicultura,,Vacinação e aplicação,NAO,SIM,SOURCE_DERIVED,D-042 heranca de segmento,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
